name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
united kingdom,10/25/2022,62.9,52.4,57.4,62.9,52.4,57.4,52.9,85.2,0,14.3,0,rain,0,0,24.2,9.6,193.9,1011,74.3,6.9,37.9,3.3,2,10,2022-10-25T07:41:31,2022-10-25T17:46:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
united kingdom,10/26/2022,65.6,58.6,61.3,65.6,58.6,61.3,55.7,82.4,0.01,19,4.17,rain,0,0,34.4,14.8,200.2,1011,75.1,15,85.6,7.4,4,10,2022-10-26T07:43:16,2022-10-26T17:44:53,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,10/27/2022,66.6,59.3,61.8,66.6,59.3,61.8,58.1,87.8,0.1,19,4.17,rain,0,0,30.2,11.2,175.2,1015,86.8,15,28,2.4,1,10,2022-10-27T07:45:02,2022-10-27T17:42:57,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,10/28/2022,64.8,53.9,60.9,64.8,53.9,60.9,54.6,80.2,0,19,0,,0,0,32.7,13.6,207.3,1015.5,90.5,15,53.3,4.6,2,10,2022-10-28T07:46:47,2022-10-28T17:41:02,0.06,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,10/29/2022,66.1,53.5,60.4,66.1,53.5,60.4,55.9,85.4,0.42,42.9,8.33,rain,0,0,28,12.1,171.6,1014,98.7,14.5,62.3,5.3,3,10,2022-10-29T07:48:33,2022-10-29T17:39:08,0.1,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,10/30/2022,64.1,58.6,61.1,64.1,58.6,61.1,55.4,82.3,0.35,42.9,16.67,rain,0,0,17,8.9,222.6,1013.7,99.9,15,58.2,5.3,2,10,2022-10-30T06:50:18,2022-10-30T16:37:16,0.14,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,10/31/2022,62.1,56.7,58.8,62.1,56.7,58.8,53.7,83.5,0.11,42.9,12.5,rain,0,0,13.4,6.3,83.2,1017,95.1,14.5,73.1,6.2,3,10,2022-10-31T06:52:04,2022-10-31T16:35:25,0.21,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,11/1/2022,62.9,54.8,58.5,62.9,54.8,58.5,52.8,81.5,0,38.1,0,,0,0,25.3,9.8,170.4,1012.9,56.4,15,53.9,4.5,2,10,2022-11-01T06:53:50,2022-11-01T16:33:36,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/2/2022,61.1,54.4,58.6,61.1,54.4,58.6,52.4,79.8,0.21,42.9,20.83,rain,0,0,42.3,24.8,192.1,1001.8,91.9,12.7,42,3.6,2,10,2022-11-02T06:55:36,2022-11-02T16:31:48,0.32,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,11/3/2022,59.3,51.2,55,59.3,51.2,55,47.4,75.7,0.15,33.3,16.67,rain,0,0,36.2,17.9,213.7,1009.2,92.3,14,40.6,3.8,2,10,2022-11-03T06:57:23,2022-11-03T16:30:02,0.37,Overcast,Cloudy skies throughout the day.,cloudy,
united kingdom,11/4/2022,54.9,49.2,52.6,54.9,45.8,52,43.8,72.3,0.05,42.9,4.17,rain,0,0,40.4,19.5,217.8,1009.9,39,15,83.1,7.2,3,10,2022-11-04T06:59:09,2022-11-04T16:28:17,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/5/2022,55.1,45.5,50.4,55.1,41.4,48.7,44.7,80.9,1.09,42.9,25,rain,0,0,42.1,20.4,218,999.3,60.2,10.3,65,5.4,3,10,2022-11-05T07:00:55,2022-11-05T16:26:34,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/6/2022,51.7,43.4,46.4,51.7,39.6,43.2,40.6,80.3,0.02,38.1,4.17,rain,0,0,21.7,11,237.9,1002.8,46.6,14.9,65.3,5.9,3,10,2022-11-06T07:02:41,2022-11-06T16:24:53,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/7/2022,52.1,42.7,47.6,52.1,39.3,45.8,41.4,78.9,0.02,38.1,4.17,rain,0,0,29.1,12.1,133.9,999.1,87.2,15,54.1,4.8,2,10,2022-11-07T07:04:27,2022-11-07T16:23:14,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/8/2022,52.2,47.7,49.8,52.2,43,47.5,41.5,74,0,38.1,0,rain,0,0,26.4,11.8,234.7,990,77,15,55.6,4.7,2,10,2022-11-08T07:06:13,2022-11-08T16:21:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
united kingdom,11/9/2022,51.9,44,47.9,0,0,38.2,41.8,80.1,0.11,0,0,,,,31.8,12.5,208.3,1012.9,24.9,9.4,,,,,2022-11-09T07:07:58,2022-11-09T16:20:02,0.51,Partially cloudy,,partly-cloudy-day,
united kingdom,11/10/2022,53.9,44.5,49.4,0,0,39.5,43.1,79.9,0.14,4.8,2,,,,32.4,12.1,218.1,1014.4,20.7,9.3,,,,,2022-11-10T07:09:44,2022-11-10T16:18:28,0.53,Partially cloudy,,partly-cloudy-day,
united kingdom,11/11/2022,54.2,45.6,50.1,0,0,40.4,44,80,0.13,0,0,,,,31.8,13,204.4,1013,22.8,8.8,,,,,2022-11-11T07:11:29,2022-11-11T16:16:57,0.54,Partially cloudy,,partly-cloudy-day,
united kingdom,11/12/2022,53.7,46.1,50.3,0,0,40.2,44,79.7,0.13,0,0,,,,30.4,13,225.2,1013.1,21.4,8.9,,,,,2022-11-12T07:13:13,2022-11-12T16:15:27,0.58,Partially cloudy,,partly-cloudy-day,
united kingdom,11/13/2022,53.3,44.1,48.6,0,0,37.8,42.2,78.8,0.06,0,0,,,,32.2,12.5,203.3,1016,15.7,10.3,,,,,2022-11-13T07:14:58,2022-11-13T16:14:00,0.62,Clear,,clear-day,
united kingdom,11/14/2022,53.1,44.7,49,0,0,39.5,42.7,79.5,0.1,0,0,,,,35.3,12.8,201.9,1014.8,18.8,9.3,,,,,2022-11-14T07:16:41,2022-11-14T16:12:35,0.66,Clear,,clear-day,
united kingdom,11/15/2022,53.7,45.6,49.4,0,0,38.7,43.2,80.5,0.05,0,0,,,,30,8.7,201.9,1016.5,20,8.6,,,,,2022-11-15T07:18:25,2022-11-15T16:11:12,0.7,Clear,,clear-day,
united kingdom,11/16/2022,52.2,44.3,48.5,0,0,40,42.7,81.1,0.07,0,0,,,,28.9,10.5,201.2,1015.7,22.7,8.3,,,,,2022-11-16T07:20:08,2022-11-16T16:09:52,0.75,Partially cloudy,,partly-cloudy-day,
united kingdom,11/17/2022,52.2,44.3,47.9,0,0,39.3,41.8,79.6,0.12,4.8,2,,,,48.3,11.9,207.7,1014.5,26.2,9,,,,,2022-11-17T07:21:50,2022-11-17T16:08:34,0.8,Partially cloudy,,partly-cloudy-day,
united kingdom,11/18/2022,51.7,42.9,47.6,0,0,35.5,41.4,80.3,0.09,4.8,2,,,,38.9,12.8,199.5,1013,24.4,9.1,,,,,2022-11-18T07:23:31,2022-11-18T16:07:18,0.85,Partially cloudy,,partly-cloudy-day,
united kingdom,11/19/2022,50.6,41.8,46.3,0,0,35.9,40.2,80.1,0.13,4.8,2,,,,29.1,11.2,186,1014.8,24.6,9.1,,,,,2022-11-19T07:25:11,2022-11-19T16:06:05,0.89,Partially cloudy,,partly-cloudy-day,
united kingdom,11/20/2022,50.1,42.9,46.7,0,0,37.3,41.4,82.4,0.12,9.5,4,,,,34.4,12.1,187.2,1012.5,26.8,7.6,,,,,2022-11-20T07:26:51,2022-11-20T16:04:54,0.93,Partially cloudy,,partly-cloudy-day,
united kingdom,11/21/2022,50.8,42.9,46.8,0,0,38.2,41.4,82.1,0.13,4.8,2,,,,35.8,11.9,173.8,1009.1,29.3,7.5,,,,,2022-11-21T07:28:30,2022-11-21T16:03:46,0.97,Partially cloudy,,partly-cloudy-day,
united kingdom,11/22/2022,51.3,43.6,47.7,0,0,37.5,41.6,79.7,0.14,4.8,2,,,,39.1,13.2,202.5,1009.1,27.7,8.8,,,,,2022-11-22T07:30:08,2022-11-22T16:02:41,0.99,Partially cloudy,,partly-cloudy-day,
united kingdom,11/23/2022,50.4,42.5,46.3,0,0,36.9,40.7,81.5,0.22,0,0,,,,40.9,11.9,217.9,1012.2,24.1,8,,,,,2022-11-23T07:31:44,2022-11-23T16:01:38,1,Partially cloudy,,partly-cloudy-day,
united kingdom,11/24/2022,51,42.9,47.2,0,0,38.6,41.8,81.8,0.06,0,0,,,,31.3,12.3,202.5,1013.8,24.8,8.3,,,,,2022-11-24T07:33:20,2022-11-24T16:00:38,0,Partially cloudy,,partly-cloudy-day,
united kingdom,11/25/2022,50.8,43.2,47.2,0,0,38,40.9,79,0.07,0,0,,,,47.2,13.6,222.4,1012.3,25.9,9.9,,,,,2022-11-25T07:34:54,2022-11-25T15:59:41,0.02,Partially cloudy,,partly-cloudy-day,
united kingdom,11/26/2022,50.4,42.9,46.7,0,0,38,40.7,79.9,0.08,0,0,,,,25.7,11.6,231.1,1012.7,20.4,9.4,,,,,2022-11-26T07:36:27,2022-11-26T15:58:46,0.04,Partially cloudy,,partly-cloudy-day,
united kingdom,11/27/2022,51,43.8,47.6,0,0,38.6,42,81.5,0.06,0,0,,,,32,11.9,221.5,1010.9,24.9,9.4,,,,,2022-11-27T07:37:58,2022-11-27T15:57:55,0.08,Partially cloudy,,partly-cloudy-day,
united kingdom,11/28/2022,51,43.4,47.4,0,0,36.4,40.9,79,0.09,4.8,2,,,,33.3,12.8,215.1,1010.3,23.8,9.8,,,,,2022-11-28T07:39:28,2022-11-28T15:57:06,0.13,Partially cloudy,,partly-cloudy-day,
united kingdom,11/29/2022,50.3,43.1,46.8,0,0,36.4,40.9,80.4,0.09,0,0,,,,38,12.1,213,1011,24.5,8.9,,,,,2022-11-29T07:40:57,2022-11-29T15:56:21,0.19,Partially cloudy,,partly-cloudy-day,
united kingdom,11/30/2022,49.5,41.3,45.8,0,0,34.8,40,81,0.08,4.8,2,,,,33.8,12.1,207.6,1013.6,22.5,8.1,,,,,2022-11-30T07:42:23,2022-11-30T15:55:38,0.24,Partially cloudy,,partly-cloudy-day,
united kingdom,12/1/2022,50.1,41.8,46.1,0,0,36,40,79.8,0.13,4.8,2,,,,28.9,12.5,199.1,1012,26.1,8.6,,,,,2022-12-01T07:43:48,2022-12-01T15:54:59,0.3,Partially cloudy,,partly-cloudy-day,
united kingdom,12/2/2022,49,42.5,45.8,0,0,36.2,39.5,79.3,0.06,0,0,,,0.39,36,12.1,200.9,1012.4,23.3,8.8,,,,,2022-12-02T07:45:11,2022-12-02T15:54:22,0.35,Partially cloudy,,partly-cloudy-day,
united kingdom,12/3/2022,49.4,41.8,45.8,0,0,36,39.5,79.2,0.06,0,0,,,0.39,33.6,13.4,212.5,1011.9,23,8.8,,,,,2022-12-03T07:46:32,2022-12-03T15:53:49,0.4,Partially cloudy,,partly-cloudy-day,
united kingdom,12/4/2022,49.7,41.1,45.6,0,0,36.4,39.3,79.4,0.06,0,0,,,,33.3,12.8,216.3,1012.8,24.3,9.9,,,,,2022-12-04T07:47:51,2022-12-04T15:53:19,0.44,Partially cloudy,,partly-cloudy-day,
united kingdom,12/5/2022,50.3,42,46.1,0,0,35.7,39.8,79.2,0.08,0,0,,,,36.2,13.6,224.9,1013.5,22,9.9,,,,,2022-12-05T07:49:08,2022-12-05T15:52:53,0.47,Partially cloudy,,partly-cloudy-day,
united kingdom,12/6/2022,49.7,42.7,46.5,0,0,36.2,40.2,79.2,0.06,4.8,2,,,,32.9,14.3,218.6,1015.7,24.2,9.3,,,,,2022-12-06T07:50:23,2022-12-06T15:52:29,0.49,Partially cloudy,,partly-cloudy-day,
united kingdom,12/7/2022,50.6,42.3,46.7,0,0,36.4,40,78.2,0.08,0,0,,,,36.2,14.8,206.8,1014.2,19.9,9.4,,,,,2022-12-07T07:51:36,2022-12-07T15:52:09,0.5,Clear,,clear-day,
united kingdom,12/8/2022,49.5,41.4,45.6,0,0,34.8,39.5,79.3,0.08,0,0,,,,38.5,15,208.6,1014.3,23.6,8.7,,,,,2022-12-08T07:52:46,2022-12-08T15:51:52,0.5,Partially cloudy,,partly-cloudy-day,
united kingdom,12/9/2022,48.6,40,44.3,0,0,33,37.8,78,0.02,0,0,,,,31.8,13.9,216.3,1017.9,16.9,8.6,,,,,2022-12-09T07:53:54,2022-12-09T15:51:39,0.51,Clear,,clear-day,
united kingdom,12/10/2022,47.7,39.6,43.6,0,0,33,37.7,80.1,0.08,4.8,2,,,0.79,37.4,12.3,223.6,1019.3,21.8,7.8,,,,,2022-12-10T07:54:59,2022-12-10T15:51:29,0.53,Partially cloudy,,partly-cloudy-day,
united kingdom,12/11/2022,47.6,39.6,43.6,0,0,34.4,38.7,83,0.1,0,0,,,,28.9,11.9,206,1018.5,22.1,6.8,,,,,2022-12-11T07:56:02,2022-12-11T15:51:22,0.55,Partially cloudy,,partly-cloudy-day,
united kingdom,12/12/2022,48.6,38.2,43.8,0,0,33.2,38.7,82.4,0.06,0,0,,,,32.9,11.9,173.5,1017.1,29.6,7.6,,,,,2022-12-12T07:57:02,2022-12-12T15:51:19,0.59,Partially cloudy,,partly-cloudy-day,
united kingdom,12/13/2022,48.1,40.9,44.3,0,0,33.9,38.7,81.4,0.12,0,0,,,,37.8,13.9,180.1,1014.3,25.8,7.9,,,,,2022-12-13T07:57:59,2022-12-13T15:51:19,0.62,Partially cloudy,,partly-cloudy-day,
united kingdom,12/14/2022,47,39.6,43.8,0,0,34.6,37.3,78.4,0.05,0,0,,,,34.9,13,195.3,1014.2,16.3,8.6,,,,,2022-12-14T07:58:53,2022-12-14T15:51:22,0.67,Clear,,clear-day,
united kingdom,12/15/2022,47.2,40.9,44.1,0,0,32.4,37.8,79.3,0.1,0,0,,,,31.5,12.3,204.9,1015.4,17.5,9.1,,,,,2022-12-15T07:59:45,2022-12-15T15:51:29,0.71,Clear,,clear-day,
united kingdom,12/16/2022,47.2,39.5,43.4,0,0,32.8,37.7,80.4,0.09,0,0,,,,30.9,11.2,222.1,1015.2,24.8,8.8,,,,,2022-12-16T08:00:34,2022-12-16T15:51:40,0.76,Partially cloudy,,partly-cloudy-day,
united kingdom,12/17/2022,46.3,38,42.7,0,0,31.7,37.1,81,0.11,0,0,,,0.39,28,12.3,215.8,1016.6,20.3,9.4,,,,,2022-12-17T08:01:19,2022-12-17T15:51:53,0.81,Partially cloudy,,partly-cloudy-day,
united kingdom,12/18/2022,46.8,39.1,43.2,0,0,32.4,37.5,80.6,0.02,0,0,,,1.81,32.7,11.2,180.7,1018.3,16.8,8.6,,,,,2022-12-18T08:02:02,2022-12-18T15:52:11,0.86,Clear,,clear-day,
united kingdom,12/19/2022,46.5,39.1,42.9,0,0,32.4,37.3,80.9,0.09,0,0,,,4.33,26.6,10.7,203.9,1017.8,18.2,8.3,,,,,2022-12-19T08:02:41,2022-12-19T15:52:31,0.91,Clear,,clear-day,
united kingdom,12/20/2022,46.8,38.7,43.2,0,0,32.4,37.7,81.4,0.13,0,0,,,4.17,32.2,10.7,202.3,1017.1,22.5,8.4,,,,,2022-12-20T08:03:18,2022-12-20T15:52:55,0.95,Partially cloudy,,partly-cloudy-day,
united kingdom,12/21/2022,48.3,41.3,44.9,0,0,34.6,40.2,84,0.07,0,0,,,4.09,37.6,11.2,208.4,1016.3,23.3,7.8,,,,,2022-12-21T08:03:51,2022-12-21T15:53:22,0.98,Partially cloudy,,partly-cloudy-day,
united kingdom,12/22/2022,49,42,45.8,0,0,34.2,40.7,83,0.13,0,0,,,2.68,36.2,11.6,234.7,1016.7,21.4,8.9,,,,,2022-12-22T08:04:21,2022-12-22T15:53:53,1,Partially cloudy,,partly-cloudy-day,
united kingdom,12/23/2022,49.9,42.3,46.5,0,0,35.7,41.3,82.2,0.08,0,0,,,2.72,34.7,12.5,217,1017,24.9,8.5,,,,,2022-12-23T08:04:48,2022-12-23T15:54:27,0,Partially cloudy,,partly-cloudy-day,
united kingdom,12/24/2022,50.3,43.1,47,0,0,37.7,41.3,80.8,0.12,0,0,,,2.6,35.3,13.4,214.4,1013.9,26.7,9.1,,,,,2022-12-24T08:05:11,2022-12-24T15:55:04,0.01,Partially cloudy,,partly-cloudy-day,
united kingdom,12/25/2022,48.1,40.9,44.5,0,0,33.3,38.7,80.4,0.08,0,0,,,,35.6,12.5,201.2,1014,22.8,11.3,,,,,2022-12-25T08:05:31,2022-12-25T15:55:44,0.03,Partially cloudy,,partly-cloudy-day,
united kingdom,12/26/2022,47.6,39.6,43.8,0,0,32.3,38,80.8,0.09,0,0,,,,36.2,13,197.8,1013.6,20.8,10.9,,,,,2022-12-26T08:05:48,2022-12-26T15:56:28,0.07,Partially cloudy,,partly-cloudy-day,
united kingdom,12/27/2022,46.8,40.2,43.4,0,0,32.8,37.5,80,0.08,0,0,,,1.69,41.2,11.9,213.5,1011.9,21.5,10.7,,,,,2022-12-27T08:06:01,2022-12-27T15:57:15,0.11,Partially cloudy,,partly-cloudy-day,
united kingdom,12/28/2022,46.5,39.1,42.9,0,0,32.6,36.6,79.5,0.04,4.8,2,,,0.63,30,12.3,201.3,1014.7,17.5,10.4,,,,,2022-12-28T08:06:11,2022-12-28T15:58:04,0.16,Clear,,clear-day,
united kingdom,12/29/2022,46.8,38.2,42.3,0,0,32.4,37.3,82.5,0.12,4.8,2,,,0.39,29.3,13,207.3,1015.8,19.7,8.3,,,,,2022-12-29T08:06:18,2022-12-29T15:58:57,0.22,Clear,,clear-day,
united kingdom,12/30/2022,48.1,39.8,44,0,0,33.9,39.1,83.7,0.15,4.8,2,,,0.39,37.6,11.6,205.2,1016.4,23.1,7.6,,,,,2022-12-30T08:06:21,2022-12-30T15:59:52,0.27,Partially cloudy,,partly-cloudy-day,
united kingdom,12/31/2022,47.7,41.3,44.7,0,0,36.4,39.1,81.2,0.11,0,0,,,0.39,36.5,12.1,198.1,1016.7,31.5,9,,,,,2022-12-31T08:06:21,2022-12-31T16:00:51,0.33,Partially cloudy,,partly-cloudy-day,
united kingdom,1/1/2023,49,41.3,45.4,0,0,36.2,39.8,81.1,0.17,4.8,2,,,,35.1,12.1,214.5,1013.2,28.6,9.4,,,,,2023-01-01T08:06:18,2023-01-01T16:01:52,0.37,Partially cloudy,,partly-cloudy-day,
united kingdom,1/2/2023,47.7,39.8,43.8,0,0,33,37.1,77.8,0.11,0,0,,,,32.2,12.8,215.2,1015.6,27.8,9.8,,,,,2023-01-02T08:06:11,2023-01-02T16:02:56,0.41,Partially cloudy,,partly-cloudy-day,
united kingdom,1/3/2023,47,39.1,43.1,0,0,32.6,36.4,77.7,0.11,4.8,2,,,,39.1,13.2,193.5,1016,28.1,9.6,,,,,2023-01-03T08:06:01,2023-01-03T16:04:03,0.45,Partially cloudy,,partly-cloudy-day,
united kingdom,1/4/2023,46.8,39.5,43.1,0,0,33.9,37.1,79.6,0.06,0,0,,,,34.7,13.6,214.7,1015,26.8,8.8,,,,,2023-01-04T08:05:48,2023-01-04T16:05:12,0.47,Partially cloudy,,partly-cloudy-day,
united kingdom,1/5/2023,47.7,40.2,44.1,0,0,34.8,38.2,80.3,0.04,0,0,,,,37.6,12.3,212.1,1013.5,27.2,8.5,,,,,2023-01-05T08:05:31,2023-01-05T16:06:24,0.49,Partially cloudy,,partly-cloudy-day,
united kingdom,1/6/2023,47.6,40,44,0,0,34.6,38.2,80.6,0.13,0,0,,,1.89,33.1,10.7,191.8,1015.7,26.1,8.3,,,,,2023-01-06T08:05:11,2023-01-06T16:07:38,0.5,Partially cloudy,,partly-cloudy-day,
united kingdom,1/7/2023,47.9,40.5,44.3,0,0,33.9,38.4,80,0.08,4.8,2,,,2.48,38.5,13.2,209.3,1016.5,29.2,8.9,,,,,2023-01-07T08:04:47,2023-01-07T16:08:55,0.5,Partially cloudy,,partly-cloudy-day,
united kingdom,1/8/2023,48.1,40.7,44.5,0,0,35,38.4,79.9,0.1,4.8,2,,,2.36,36.5,13.6,200.2,1015.9,23.8,9.2,,,,,2023-01-08T08:04:21,2023-01-08T16:10:14,0.52,Partially cloudy,,partly-cloudy-day,
united kingdom,1/9/2023,47.4,39.6,43.6,0,0,33.2,37.8,80.4,0.05,0,0,,,1.97,38,12.8,201.8,1016.7,19.7,8.9,,,,,2023-01-09T08:03:51,2023-01-09T16:11:35,0.53,Clear,,clear-day,
united kingdom,1/10/2023,47.6,40,44,0,0,35.5,38.7,82.3,0.08,0,0,,,1.61,42.7,13,207.2,1016.3,27,8,,,,,2023-01-10T08:03:18,2023-01-10T16:12:58,0.55,Partially cloudy,,partly-cloudy-day,
united kingdom,1/11/2023,47.4,40.2,44.1,0,0,35.1,37.8,79.5,0.11,0,0,,,0.87,34.2,13.9,219.1,1016.9,26.8,8.5,,,,,2023-01-11T08:02:42,2023-01-11T16:14:23,0.59,Partially cloudy,,partly-cloudy-day,
united kingdom,1/12/2023,47.4,39.6,44.1,0,0,33.7,38,79.8,0.09,0,0,,,0.79,34,15.2,205.9,1016.3,25,8.8,,,,,2023-01-12T08:02:02,2023-01-12T16:15:50,0.63,Partially cloudy,,partly-cloudy-day,
united kingdom,1/13/2023,48.1,41.3,44.9,0,0,34.4,38.2,77.9,0.08,5,2,,,2.17,36,14.3,215.1,1013.5,20.7,9.9,,,,,2023-01-13T08:01:20,2023-01-13T16:17:19,0.68,Partially cloudy,,partly-cloudy-day,
united kingdom,1/14/2023,46.7,39.6,43.1,0,0,34.8,36.8,78.7,0.06,0,0,,,1.81,35.6,13.4,218.5,1015.4,23.5,9.5,,,,,2023-01-14T08:00:35,2023-01-14T16:18:50,0.72,Partially cloudy,,partly-cloudy-day,
united kingdom,1/15/2023,48.3,40.5,44.7,0,0,34.6,38.7,79.9,0.07,0,0,,,,36.7,14.3,204.5,1013.2,23.8,9,,,,,2023-01-15T07:59:47,2023-01-15T16:20:22,0.78,Partially cloudy,,partly-cloudy-day,
united kingdom,1/16/2023,47.4,40.2,43.8,0,0,33.2,37.5,78.9,0.06,4.8,2,,,,28.2,14.5,205.9,1012.4,23.1,9.7,,,,,2023-01-16T07:58:55,2023-01-16T16:21:56,0.83,Partially cloudy,,partly-cloudy-day,
united kingdom,1/17/2023,46.5,38.6,42.7,0,0,33.9,36.8,79.9,0.11,4.8,2,,,0.39,34,13.2,207.6,1013.6,21.1,9.7,,,,,2023-01-17T07:58:01,2023-01-17T16:23:31,0.88,Partially cloudy,,partly-cloudy-day,
united kingdom,1/18/2023,47.2,38.4,43.1,0,0,32.6,36.6,78.7,0.09,4.8,2,,,2.44,35.8,15.4,209.2,1013.7,21.7,9.8,,,,,2023-01-18T07:57:04,2023-01-18T16:25:08,0.93,Partially cloudy,,partly-cloudy-day,
united kingdom,1/19/2023,47.6,40.2,44,0,0,34.4,38,79.5,0.08,0,0,,,2.01,,13.4,217.3,1013.8,25.9,9.1,,,,,2023-01-19T07:56:05,2023-01-19T16:26:46,0.96,Partially cloudy,,partly-cloudy-day,
united kingdom,1/20/2023,46.8,39.8,43.4,0,0,34.1,37.7,80.5,0.04,0,0,,,1.77,35.8,13.9,209.9,1013.7,31.1,8.1,,,,,2023-01-20T07:55:02,2023-01-20T16:28:26,0.99,Partially cloudy,,partly-cloudy-day,
united kingdom,1/21/2023,47,38.9,42.7,0,0,34.1,36.4,79,0.05,0,0,,,2.09,19.7,13.4,218.4,1014.5,26.7,7.3,,,,,2023-01-21T07:53:57,2023-01-21T16:30:06,1,Partially cloudy,,partly-cloudy-day,
united kingdom,1/22/2023,46.7,38.7,42.7,0,0,34.1,36.6,79.4,0.1,0,0,,,1.38,,12.8,195.4,1014.1,26.2,7.8,,,,,2023-01-22T07:52:50,2023-01-22T16:31:48,0,Partially cloudy,,partly-cloudy-day,
united kingdom,1/23/2023,46.5,38.9,42.9,0,0,34.1,36.9,80.4,0.06,0,0,,,0.79,24.6,12.8,220.2,1016,26.9,8.9,,,,,2023-01-23T07:51:39,2023-01-23T16:33:31,0.02,Partially cloudy,,partly-cloudy-day,
united kingdom,1/24/2023,47.2,38.4,42.9,0,0,33.3,36.8,79.3,0.06,0,0,,,,27.1,11.6,217.1,1017.8,23.9,9.4,,,,,2023-01-24T07:50:27,2023-01-24T16:35:14,0.05,Partially cloudy,,partly-cloudy-day,
